time,Voltage Inductor
1e-09,60.0
0.401290650918804,55.71429
0.8012906509188044,53.87755
1.201290650918782,47.37609
1.601290650918738,39.28363
2.001290650918695,36.39853
2.401290650918651,30.24188
2.801290650918606,23.68709
3.201290650918562,22.50647
3.601290650918518,17.94143
4.001290650918475,13.27938
4.401290650918608,13.64663
4.801290650918742,10.29218
5.201290650918875,7.027718
5.601290650919009,8.402969
6.001290650919143,5.765007
6.401290650919276,3.437984
6.80129065091941,5.394924
7.201290650919543,3.126514
7.601290650919677,1.430729
8.00129065091981,3.693439
8.401290650919588,1.585743
8.801290650919366,0.3363724
9.201290650919145,2.736416
9.601290650918925,0.6728096
