time,Voltage Inductor
0,47.89458076177439997711433963
0.4732863826479692834053862634,44.74761192580891174748805439
0.9465727652959385668107725268,43.19080838488458226925345314
1.200000000000000000000000000,39.15728151518100085950630498
1.419859147943907850216158790,38.38713176430462782131649675
1.673286382647969283405386263,41.53410060027011605094278199
1.673286382647969283405386264,32.62324919072070427919448761
1.893145530591877133621545054,32.24225658427867579037086170
2.146572765295938566810772527,33.79906012520300526860546295
2.146572765295938566810772528,29.78700394662752151248933638
2.366431913239846417026931318,29.59852713935943577234873103
2.400000000000000000000000000,25.90469087243080649906941729
2.619859147943907850216158790,26.67484062330717953725922552
2.619859147943907850216158792,24.88604739698360893561552005
2.839718295887815700432317582,24.79280803675109911053697766
2.873286382647969283405386264,20.02207636777851454339718360
3.093145530591877133621545054,20.40306897422054303222080951
3.093145530591877133621545056,19.61509955975658213100220674
3.313004678535784983837703846,19.56897410579448185965486672
3.346572765295938566810772528,18.29722162351996809789001972
3.566431913239846417026931318,18.48569843078805383803062507
3.566431913239846417026931320,18.14384932213533436512621902
3.600000000000000000000000000,14.76109601277658384349839358
3.786291061183754267243090110,14.73827777916897040518685464
3.819859147943907850216158792,14.59767140848547777192863489
4.039718295887815700432317582,14.69091076871798759700717728
4.039718295887815700432317584,14.54552345119891586367633868
4.073286382647969283405386264,10.64154289636435119038072750
4.259577443831723550648476374,10.63025473028148861694419534
4.293145530591877133621545056,10.77770347093318407987050111
4.513004678535784983837703846,10.82382892489528435121784113
4.513004678535784983837703848,10.76364276308537553495475822
4.546572765295938566810772528,10.42955001718692036378166419
4.732863826479692834053862638,10.42396576839249248828515447
4.766431913239846417026931320,10.59205823556227568391867307
4.800000000000000000000000000,7.49418948203133428292627308
4.986291061183754267243090110,7.517007715638947721237812021
4.986291061183754267243090112,7.493039873183468342157473292
5.019859147943907850216158792,7.935237495397707849745567391
5.206150209127662117459248902,7.932474970965558349352171877
5.239718295887815700432317584,8.056663688541180614846649115
5.273286382647969283405386264,4.907280534111354129672862465
5.459577443831723550648476374,4.918568700194216703109394624
5.459577443831723550648476376,4.909584154126021299199844596
5.493145530591877133621545056,5.344769428078024959574197472
5.679436591775631400864635166,5.343402808946399253435712024
5.713004678535784983837703848,5.422151625214922457768655475
5.746572765295938566810772528,5.818274589993629361335879095
5.932863826479692834053862638,5.823858838788057236832388811
5.932863826479692834053862640,5.820835129668269344941936030
5.966431913239846417026931320,6.104696821102155033485619816
6.000000000000000000000000000,3.267720566418493781116956776
6.152722974423600684270021430,3.267044500777520537032872775
6.186291061183754267243090112,3.313088669965988394616857981
6.219859147943907850216158792,4.107419310128313749338346993
6.406150209127662117459248902,4.110181834560463249731742507
6.406150209127662117459248904,4.109388945802192962233233099
6.439718295887815700432317584,4.266233649998120946315543627
6.473286382647969283405386264,1.772037227854426746349652607
6.626009357071569967675407694,1.771702778599087515760442826
6.659577443831723550648476376,1.797255944389081034217213945
6.693145530591877133621545056,2.332750851837468738449075242
6.879436591775631400864635166,2.334117470969094444587560690
6.879436591775631400864635168,2.334072972521591283423975933
6.913004678535784983837703848,2.411885941700208230575328758
6.946572765295938566810772528,3.364000057421839362671328259
7.099295739719539251080793958,3.363834605581636478176110231
7.132863826479692834053862640,3.377487037386805144688796983
7.166431913239846417026931320,3.650416030038392289461354286
7.200000000000000000000000000,1.052360750754738633612485866
7.352722974423600684270021430,1.053036816395711877696569867
7.352722974423600684270021432,1.053186831353909767707827271
7.386291061183754267243090112,1.088258375469511366347844393
7.419859147943907850216158792,2.057381337977623977786705147
7.572582122367508534486180222,2.057299489054388208678269567
7.606150209127662117459248904,2.064374760186358622795258847
7.639718295887815700432317584,2.178696196091339641683301885
7.673286382647969283405386264,0.251667973665980068335080685
7.826009357071569967675407694,0.2520024229213192989242904659
7.826009357071569967675407696,0.2521617375286828349638679831
7.859577443831723550648476376,0.2662570562083764916738627138
7.893145530591877133621545056,0.7762280059869836739827036033
8.045868505015477817891566486,0.7761875153751739781405675916
8.079436591775631400864635168,0.7797581696828005134458520845
8.113004678535784983837703848,0.8167727930853466625287651123
8.146572765295938566810772528,2.179333857360822419487625419
8.299295739719539251080793958,2.179499309201025303982843447
8.299295739719539251080793960,2.179620222094313765747923315
8.332863826479692834053862640,2.184302695228584641752422415
8.366431913239846417026931320,2.376522152497183783977924950
8.400000000000000000000000000,-0.002733304107374328014229810
8.519154887663447101296952750,-0.002753334788046825863426775659
8.552722974423600684270021432,-0.000995820565442179472366607795
8.586291061183754267243090112,0.004386038034926077379065265915
8.619859147943907850216158792,1.014756472447491707741451435
8.772582122367508534486180222,1.014838321370727476849887015
8.772582122367508534486180224,1.014918963775811832246051839
8.806150209127662117459248904,1.015811181708192558062776726
8.839718295887815700432317584,1.057592680179283549624458088
8.873286382647969283405386264,-0.380107490641303877810471322
8.992441270311416384702339014,-0.3801173998066701442985728368
9.026009357071569967675407696,-0.3792740093421713613798251914
9.059577443831723550648476376,-0.3840068341156539204712694548
9.093145530591877133621545056,0.0218047034343798834322944402
9.245868505015477817891566486,0.02184519404618957927443045189
9.245868505015477817891566488,0.02189539083464161443697173676
9.279436591775631400864635168,0.02151072709128198692520003188
9.313004678535784983837703848,0.00989485418692380841894950818
9.346572765295938566810772528,1.662063804155270866041890355
9.465727652959385668107725278,1.662058902097279854662960929
9.499295739719539251080793960,1.662452526984710510861369493
9.532863826479692834053862640,1.656239324207477787255956540
9.566431913239846417026931320,1.737794976855311635800184610
9.600000000000000000000000000,-0.441087271309707640474447670
9.719154887663447101296952750,-0.4410672406290351426252507043
