time,Voltage Capacitor
0,2.105419238225600022885660372
0.4732863826479692834053862634,5.252388074191088252511945608
0.9465727652959385668107725268,6.809191615115417730746546856
1.200000000000000000000000000,10.84271848481899914049369502
1.419859147943907850216158790,11.61286823569537217868350325
1.673286382647969283405386264,17.37675080927929572080551239
1.893145530591877133621545054,17.75774341572132420962913830
2.146572765295938566810772528,20.21299605337247848751066362
2.366431913239846417026931318,20.40147286064056422765126897
2.400000000000000000000000000,24.09530912756919350093058271
2.619859147943907850216158792,25.11395260301639106438447995
2.839718295887815700432317582,25.20719196324890088946302234
2.873286382647969283405386264,29.97792363222148545660281640
3.093145530591877133621545056,30.38490044024341786899779326
3.313004678535784983837703846,30.43102589420551814034513328
3.346572765295938566810772528,31.70277837648003190210998028
3.566431913239846417026931320,31.85615067786466563487378098
3.600000000000000000000000000,35.23890398722341615650160642
3.786291061183754267243090110,35.26172222083102959481314536
3.819859147943907850216158792,35.40232859151452222807136511
4.039718295887815700432317584,35.45447654880108413632366132
4.073286382647969283405386264,39.35845710363564880961927250
4.259577443831723550648476374,39.36974526971851138305580466
4.293145530591877133621545056,39.22229652906681592012949889
4.513004678535784983837703848,39.23635723691462446504524178
4.546572765295938566810772528,39.57044998281307963621833581
4.732863826479692834053862638,39.57603423160750751171484553
4.766431913239846417026931320,39.40794176443772431608132693
4.800000000000000000000000000,42.50581051796866571707372692
4.986291061183754267243090112,42.50696012681653165784252671
5.019859147943907850216158792,42.06476250460229215025443261
5.206150209127662117459248902,42.06752502903444165064782812
5.239718295887815700432317584,41.94333631145881938515335088
5.273286382647969283405386264,45.09271946588864587032713753
5.459577443831723550648476376,45.09041584587397870080015540
5.493145530591877133621545056,44.65523057192197504042580252
5.679436591775631400864635166,44.65659719105360074656428797
5.713004678535784983837703848,44.57784837478507754223134452
5.746572765295938566810772528,44.18172541000637063866412090
5.932863826479692834053862640,44.17916487033173065505806396
5.966431913239846417026931320,43.89530317889784496651438017
6.000000000000000000000000000,46.73227943358150621888304321
6.152722974423600684270021430,46.73295549922247946296712721
6.186291061183754267243090112,46.68691133003401160538314200
6.219859147943907850216158792,45.89258068987168625066165299
6.406150209127662117459248904,45.89061105419780703776676688
6.439718295887815700432317584,45.73376635000187905368445635
6.473286382647969283405386264,48.22796277214557325365034738
6.626009357071569967675407694,48.22829722140091248423955716
6.659577443831723550648476376,48.20274405561091896578278604
6.693145530591877133621545056,47.66724914816253126155092474
6.879436591775631400864635168,47.66592702747840871657602405
6.913004678535784983837703848,47.58811405829979176942467122
6.946572765295938566810772528,46.63599994257816063732867172
7.099295739719539251080793958,46.63616539441836352182388975
7.132863826479692834053862640,46.62251296261319485531120300
7.166431913239846417026931320,46.34958396996160771053864570
7.200000000000000000000000000,48.94763924924526136638751413
7.352722974423600684270021432,48.94681316864609023229217272
7.386291061183754267243090112,48.91174162453048863365215560
7.419859147943907850216158792,47.94261866202237602221329485
7.572582122367508534486180222,47.94270051094561179132173043
7.606150209127662117459248904,47.93562523981364137720474115
7.639718295887815700432317584,47.82130380390866035831669811
7.673286382647969283405386264,49.74833202633401993166491932
7.826009357071569967675407696,49.74783826247131716503613202
7.859577443831723550648476376,49.73374294379162350832613729
7.893145530591877133621545056,49.22377199401301632601729640
8.045868505015477817891566486,49.22381248462482602185943241
8.079436591775631400864635168,49.22024183031719948655414792
8.113004678535784983837703848,49.18322720691465333747123489
8.146572765295938566810772528,47.82066614263917758051237458
8.299295739719539251080793960,47.82037977790568623425207668
8.332863826479692834053862640,47.81569730477141535824757758
8.366431913239846417026931320,47.62347784750281621602207504
8.400000000000000000000000000,50.00273330410737432801422980
8.519154887663447101296952750,50.00275333478804682586342677
8.552722974423600684270021432,50.00099582056544217947236660
8.586291061183754267243090112,49.99561396196507392262093473
8.619859147943907850216158792,48.98524352755250829225854856
8.772582122367508534486180224,48.98508103622418816775394816
8.806150209127662117459248904,48.98418881829180744193722327
8.839718295887815700432317584,48.94240731982071645037554191
8.873286382647969283405386264,50.38010749064130387781047133
8.992441270311416384702339014,50.38011739980667014429857284
9.026009357071569967675407696,50.37927400934217136137982519
9.059577443831723550648476376,50.38400683411565392047126945
9.093145530591877133621545056,49.97819529656562011656770555
9.245868505015477817891566488,49.97810460916535838556302825
9.279436591775631400864635168,49.97848927290871801307479995
9.313004678535784983837703848,49.99010514581307619158105047
9.346572765295938566810772528,48.33793619584472913395810962
9.465727652959385668107725278,48.33794109790272014533703905
9.499295739719539251080793960,48.33754747301528948913863049
9.532863826479692834053862640,48.34376067579252221274404344
9.566431913239846417026931320,48.26220502314468836419981537
9.600000000000000000000000000,50.44108727130970764047444766
9.719154887663447101296952752,50.44103731140102750921604537
9.752722974423600684270021432,50.44168521171824796316265735
9.786291061183754267243090112,50.46393132438110120277890477
9.819859147943907850216158792,49.51013267278794338962903762
9.939014035607354951513111542,49.51013509783300611951372627
9.972582122367508534486180224,49.50995734618023969406074583
10.00615020912766211745924890,49.51492469486950605185355097
10.03971829588781570043231758,49.54759531680456959181628276
10.07328638264796928340538626,50.56471931269790587350585873
10.19244127031141638470233902,50.56469207612480219536820178
10.22600935707156996767540770,50.56525768253919597778044151
10.25957744383172355064847637,50.58371270717754006945685793
10.29314553059187713362154505,50.32515346641755864232273598
10.41230041825532423491849780,50.32515466608585449968592640
10.44586850501547781789156649,50.32507775130714209072643465
10.47943659177563140086463516,50.32840388361601779706147801
10.51300467853578498383770384,50.37939162607142931257980684
10.54657276529593856681077252,48.53722576967996988424643099
10.66572765295938566810772528,48.53721104841068128059540220
